Parameter_C,L1,L2
-1.7594358,1.9213121040464626e-05,-0.0020625293558155892
-1.7594349,0.00013071604984223915,-0.0019831397923766535
-1.759434,7.092076518551435e-05,-0.002274415471152491
-1.7594331,6.252657345403268e-05,-0.0025719291835079676
-1.7594322,4.572857154247304e-05,-0.002518232175300821
-1.7594313,2.9185787995799844e-06,-0.0024030278893977866
-1.7594304,4.6535958838825e-05,-0.002561284406267004
-1.7594295,-2.332761478733796e-05,-0.0023887933782179125
-1.7594286,6.234685592492561e-07,-0.0024612214071524753
-1.7594277,-2.278819340840395e-07,-0.0026636475289516623
-1.7594268,-6.249275365610486e-06,-0.0025469708782663927
-1.7594259,-8.835720271518799e-06,-0.0024068315040357315
-1.759425,-1.1599774121161115e-05,-0.0023582297038052856
-1.7594241,-1.6645335066887926e-05,-0.002275471709399882
-1.7594232,-2.1111322194866607e-05,-0.0017656744799122023
-1.7594223,-1.9560355332543685e-05,-0.0016033465277160593
-1.7594214,-1.2631346254460032e-05,-0.001475305588094568
-1.7594205,-5.592074539562594e-06,-0.0009902265588107942
-1.7594196,3.5412502909284936e-06,-0.0007227469133523447
-1.7594187,-2.8031921347937505e-05,-0.0003506679847386646
-1.7594178,-2.1560303475819212e-05,-0.00041510228148953707
-1.7594169,-8.391284901488121e-06,-0.0005613467768951985
-1.759416,1.4440081602132455e-05,-0.0008303768502252228
-1.7594151,2.1604330205879548e-05,-0.0007591039652267877
-1.7594142,0.00014352944908483438,-9.204915403681606e-05
-1.7594133,-3.981213798294365e-05,-0.0005711253854318015
-1.7594124,-1.2760655344266899e-05,-0.0006497991799784677
-1.7594115,-8.731751129991925e-06,-0.00048329993420728696
-1.7594106,-5.631495100550083e-06,-0.0003586744778281555
-1.7594097,-1.7195761915602769e-06,-0.0004744498084574813
-1.7594088,3.346435287581863e-06,-0.0004993631092048133
-1.7594079,7.334426249230834e-06,-0.0005993312162996518
-1.759407,8.53751795017808e-06,-0.0007862490365819793
-1.7594061,8.603535427652421e-06,-0.0010545804468580326
-1.7594052,8.16425046548886e-06,-0.0015006637470265443
-1.7594043,7.4893679401409615e-06,-0.0018609962498344285
-1.7594034,6.690658746729114e-06,-0.0021618022516486602
-1.7594025,5.7933371921579355e-06,-0.002240122875842441
-1.7594016,4.808578672129514e-06,-0.0022598118001598633
-1.7594007,3.784563094953238e-06,-0.0022081702881944615
-1.7593998,2.8187938814713943e-06,-0.002193092361345559
-1.7593989,2.017562810351848e-06,-0.002107334713243453
-1.759398,1.4310864162183041e-06,-0.0020666154148127358
-1.7593971,1.046226472418436e-06,-0.0019594097251660037
-1.7593962,8.287423522561433e-07,-0.0019244950239843408
-1.7593953,7.487847587918091e-07,-0.001942095140711725
-1.7593944,7.853004005115144e-07,-0.0018350928772088088
-1.7593935,9.250542233860864e-07,-0.0018446364852414995
-1.7593926,1.1600838093735067e-06,-0.0018817285959199332
-1.7593917,1.4831874851590225e-06,-0.0019386913488790253
-1.7593908,1.8790319685754495e-06,-0.001853354094003941
-1.7593899,2.311855604967688e-06,-0.0019003183329181009
-1.759389,2.7233996244853642e-06,-0.001845973375327178
-1.7593881,3.0548361946549832e-06,-0.0018786114951489165
-1.7593872,3.273990603811818e-06,-0.0018888871589872616
-1.7593863,3.379628282790309e-06,-0.0019327393876103565
-1.7593854,3.388611872171836e-06,-0.00206507058447112
-1.7593845,3.3241255302140106e-06,-0.0020434631684171276
-1.7593836,3.2093506440267673e-06,-0.0020971121900522516
-1.7593827,3.064159708879006e-06,-0.0020789071234615505
-1.7593818,2.903732602441406e-06,-0.0021180966642641527
-1.7593809,2.738893967831896e-06,-0.0021501887470548047
-1.75938,2.577654583493127e-06,-0.0020855395958634033
-1.7593791,2.4270853123916156e-06,-0.002161870332682056
-1.7593782,2.294481736500446e-06,-0.002077928912739405
-1.7593773,2.1871135319631792e-06,-0.0021621735947538823
-1.7593764,2.1108733308924322e-06,-0.002152347778695132
-1.7593755,2.0690770562284884e-06,-0.0020740811153261885
-1.7593746,2.062392119461798e-06,-0.0020337020888351915
-1.7593737,2.089649324417942e-06,-0.0020685132949544997
-1.7593728,2.1486225325502356e-06,-0.0020785281398923248
-1.7593719,2.2362533289909224e-06,-0.0020985107797671736
-1.759371,2.3484182891305905e-06,-0.002129058306257833
-1.7593701,2.4795702953422427e-06,-0.002191860373867825
-1.7593692,2.6225753618407835e-06,-0.002127316610663479
-1.7593683,2.7689802478045027e-06,-0.002192875099057364
-1.7593674,2.9096838972106946e-06,-0.0021609648965730563
-1.7593665,3.0355580746812533e-06,-0.002192116459092778
-1.7593656,3.137285366865124e-06,-0.002518384780543036
-1.7593647,3.2038551884900573e-06,-0.002331597211681927
-1.7593638,3.219670255519122e-06,-0.0022431168559280726
-1.7593629,3.1606918505636724e-06,-0.002288720143117822
